order	package_name	version	url	type
94	RcppEigen	0.3.4.0.2	https://cran.r-project.org/src/contrib/RcppEigen_0.3.4.0.2.tar.gz	CRAN_last
95	Rdpack	2.6.4	https://cran.r-project.org/src/contrib/Rdpack_2.6.4.tar.gz	CRAN_last
96	sass	0.4.10	https://cran.r-project.org/src/contrib/sass_0.4.10.tar.gz	CRAN_last
97	scales	1.4.0	https://cran.r-project.org/src/contrib/scales_1.4.0.tar.gz	CRAN_last
98	SparseM	1.84-2	https://cran.r-project.org/src/contrib/SparseM_1.84-2.tar.gz	CRAN_last
99	systemfonts	1.3.1	https://cran.r-project.org/src/contrib/systemfonts_1.3.1.tar.gz	CRAN_last
100	textshaping	1.0.0	http://cran.r-project.org/src/contrib/Archive/textshaping/textshaping_1.0.0.tar.gz	CRAN_archive
101	tinytex	0.57	http://cran.r-project.org/src/contrib/Archive/tinytex/tinytex_0.57.tar.gz	CRAN_archive
102	vctrs	0.6.5	https://cran.r-project.org/src/contrib/vctrs_0.6.5.tar.gz	CRAN_last
103	xml2	1.3.8	http://cran.r-project.org/src/contrib/Archive/xml2/xml2_1.3.8.tar.gz	CRAN_archive
104	MASS	7.3-65	https://cran.r-project.org/src/contrib/MASS_7.3-65.tar.gz	CRAN_last
105	Matrix	1.7-3	http://cran.r-project.org/src/contrib/Archive/Matrix/Matrix_1.7-3.tar.gz	CRAN_archive
106	mgcv	1.9-3	http://cran.r-project.org/src/contrib/Archive/mgcv/mgcv_1.9-3.tar.gz	CRAN_archive
107	survival	3.8-3	https://cran.r-project.org/src/contrib/survival_3.8-3.tar.gz	CRAN_last
108	BiocGenerics	0.54.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/BiocGenerics/BiocGenerics_0.54.0.tar.gz	BioC_archive
109	bslib	0.9.0	https://cran.r-project.org/src/contrib/bslib_0.9.0.tar.gz	CRAN_last
110	circlize	0.4.16	http://cran.r-project.org/src/contrib/Archive/circlize/circlize_0.4.16.tar.gz	CRAN_archive
111	crosstalk	1.2.1	http://cran.r-project.org/src/contrib/Archive/crosstalk/crosstalk_1.2.1.tar.gz	CRAN_archive
112	GetoptLong	1.0.5	http://cran.r-project.org/src/contrib/Archive/GetoptLong/GetoptLong_1.0.5.tar.gz	CRAN_archive
113	gtable	0.3.6	https://cran.r-project.org/src/contrib/gtable_0.3.6.tar.gz	CRAN_last
114	httr	1.4.7	https://cran.r-project.org/src/contrib/httr_1.4.7.tar.gz	CRAN_last
115	later	1.4.2	http://cran.r-project.org/src/contrib/Archive/later/later_1.4.2.tar.gz	CRAN_archive
116	MatrixModels	0.5-4	https://cran.r-project.org/src/contrib/MatrixModels_0.5-4.tar.gz	CRAN_last
117	minqa	1.2.8	https://cran.r-project.org/src/contrib/minqa_1.2.8.tar.gz	CRAN_last
118	pillar	1.10.2	http://cran.r-project.org/src/contrib/Archive/pillar/pillar_1.10.2.tar.gz	CRAN_archive
119	plyr	1.8.9	https://cran.r-project.org/src/contrib/plyr_1.8.9.tar.gz	CRAN_last
120	promises	1.3.2	http://cran.r-project.org/src/contrib/Archive/promises/promises_1.3.2.tar.gz	CRAN_archive
121	purrr	1.0.4	http://cran.r-project.org/src/contrib/Archive/purrr/purrr_1.0.4.tar.gz	CRAN_archive
122	quantreg	6.1	https://cran.r-project.org/src/contrib/quantreg_6.1.tar.gz	CRAN_last
123	reformulas	0.4.0	http://cran.r-project.org/src/contrib/Archive/reformulas/reformulas_0.4.0.tar.gz	CRAN_archive
124	rmarkdown	2.29	http://cran.r-project.org/src/contrib/Archive/rmarkdown/rmarkdown_2.29.tar.gz	CRAN_archive
125	S4Vectors	0.46.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/S4Vectors_0.46.0.tar.gz	BioC_last
126	stringr	1.5.2	http://cran.r-project.org/src/contrib/Archive/stringr/stringr_1.5.2.tar.gz	CRAN_archive
127	svglite	2.2.2	https://cran.r-project.org/src/contrib/svglite_2.2.2.tar.gz	CRAN_last
128	tibble	3.2.1	http://cran.r-project.org/src/contrib/Archive/tibble/tibble_3.2.1.tar.gz	CRAN_archive
129	tidyselect	1.2.1	https://cran.r-project.org/src/contrib/tidyselect_1.2.1.tar.gz	CRAN_last
130	UCSC.utils	1.4.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/UCSC.utils_1.4.0.tar.gz	BioC_last
131	Biobase	2.68.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Biobase_2.68.0.tar.gz	BioC_last
132	bookdown	0.46	https://cran.r-project.org/src/contrib/bookdown_0.46.tar.gz	CRAN_last
133	dplyr	1.1.4	https://cran.r-project.org/src/contrib/dplyr_1.1.4.tar.gz	CRAN_last
134	ggplot2	4.0.0	http://cran.r-project.org/src/contrib/Archive/ggplot2/ggplot2_4.0.0.tar.gz	CRAN_archive
135	ggrepel	0.9.6	https://cran.r-project.org/src/contrib/ggrepel_0.9.6.tar.gz	CRAN_last
136	gridtext	0.1.5	https://cran.r-project.org/src/contrib/gridtext_0.1.5.tar.gz	CRAN_last
137	htmlwidgets	1.6.4	https://cran.r-project.org/src/contrib/htmlwidgets_1.6.4.tar.gz	CRAN_last
138	IRanges	2.42.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/IRanges_2.42.0.tar.gz	BioC_last
139	kableExtra	1.4.0	https://cran.r-project.org/src/contrib/kableExtra_1.4.0.tar.gz	CRAN_last
140	lme4	1.1-37	http://cran.r-project.org/src/contrib/Archive/lme4/lme4_1.1-37.tar.gz	CRAN_archive
141	reshape2	1.4.4	http://cran.r-project.org/src/contrib/Archive/reshape2/reshape2_1.4.4.tar.gz	CRAN_archive
142	rmdformats	1.0.4	https://cran.r-project.org/src/contrib/rmdformats_1.0.4.tar.gz	CRAN_last
143	S4Arrays	1.8.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/S4Arrays/S4Arrays_1.8.0.tar.gz	BioC_archive
144	tidyr	1.3.1	http://cran.r-project.org/src/contrib/Archive/tidyr/tidyr_1.3.1.tar.gz	CRAN_archive
145	XVector	0.48.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/XVector_0.48.0.tar.gz	BioC_last
146	broom	1.0.8	http://cran.r-project.org/src/contrib/Archive/broom/broom_1.0.8.tar.gz	CRAN_archive
147	ComplexHeatmap	2.24.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/ComplexHeatmap/ComplexHeatmap_2.24.0.tar.gz	BioC_archive
148	cowplot	1.1.3	http://cran.r-project.org/src/contrib/Archive/cowplot/cowplot_1.1.3.tar.gz	CRAN_archive
149	DT	0.34.0	https://cran.r-project.org/src/contrib/DT_0.34.0.tar.gz	CRAN_last
150	GenomeInfoDb	1.44.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/GenomeInfoDb/GenomeInfoDb_1.44.0.tar.gz	BioC_archive
151	GenomicRanges	1.60.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/GenomicRanges_1.60.0.tar.gz	BioC_last
152	ggdendro	0.2.0	https://cran.r-project.org/src/contrib/ggdendro_0.2.0.tar.gz	CRAN_last
153	modelr	0.1.11	https://cran.r-project.org/src/contrib/modelr_0.1.11.tar.gz	CRAN_last
154	plotly	4.11.0	https://cran.r-project.org/src/contrib/plotly_4.11.0.tar.gz	CRAN_last
155	SparseArray	1.8.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/SparseArray/SparseArray_1.8.0.tar.gz	BioC_archive
156	DelayedArray	0.34.1	https://bioconductor.org/packages/3.21/bioc/src/contrib/DelayedArray_0.34.1.tar.gz	BioC_last
157	doBy	4.6.26	http://cran.r-project.org/src/contrib/Archive/doBy/doBy_4.6.26.tar.gz	CRAN_archive
158	pbkrtest	0.5.3	http://cran.r-project.org/src/contrib/Archive/pbkrtest/pbkrtest_0.5.3.tar.gz	CRAN_archive
159	SummarizedExperiment	1.38.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/SummarizedExperiment/SummarizedExperiment_1.38.0.tar.gz	BioC_archive
160	car	3.1-3	https://cran.r-project.org/src/contrib/car_3.1-3.tar.gz	CRAN_last
161	DESeq2	1.48.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/DESeq2/DESeq2_1.48.0.tar.gz	BioC_archive
162	FactoMineR	2.12	http://cran.r-project.org/src/contrib/Archive/FactoMineR/FactoMineR_2.12.tar.gz	CRAN_archive
