ID	symbol
ENSMUSG00000000409	Lck
ENSMUSG00000000411	Tssk3
ENSMUSG00000000416	Cttnbp2
ENSMUSG00000000420	Galnt1
ENSMUSG00000000435	Myf5
ENSMUSG00000000439	Mkrn2
ENSMUSG00000000440	Pparg
ENSMUSG00000000441	Raf1
ENSMUSG00000000486	Septin1
ENSMUSG00000000489	Pdgfb
ENSMUSG00000000530	Acvrl1
ENSMUSG00000000531	Tamalin
ENSMUSG00000000532	Acvr1b
ENSMUSG00000000538	Tom1l2
ENSMUSG00000000544	Gpa33
ENSMUSG00000000552	Zfp385a
ENSMUSG00000000555	Itga5
ENSMUSG00000000560	Gabra2
ENSMUSG00000000561	Wdr77
ENSMUSG00000000562	Adora3
ENSMUSG00000000563	Atp5pb
ENSMUSG00000000567	Sox9
ENSMUSG00000000568	Hnrnpd
ENSMUSG00000000579	Dynlt1c
ENSMUSG00000000581	C1d
ENSMUSG00000000594	Gm2a
ENSMUSG00000000600	Krit1
ENSMUSG00000000605	Clcn4
ENSMUSG00000000606	Vmn2r88
ENSMUSG00000000617	Grm6
ENSMUSG00000000627	Sema4f
ENSMUSG00000000628	Hk2
ENSMUSG00000000631	Myo18a
ENSMUSG00000000632	Sez6
ENSMUSG00000000673	Haao
ENSMUSG00000000682	Cd52
ENSMUSG00000000686	Abhd15
ENSMUSG00000000690	Hoxb6
ENSMUSG00000000693	Loxl3
ENSMUSG00000000701	Tcl1b5
ENSMUSG00000000706	Btn1a1
ENSMUSG00000000708	Kat2b
ENSMUSG00000000711	Rab5b
ENSMUSG00000000724	Cryba1
ENSMUSG00000000730	Dnmt3l
ENSMUSG00000000731	Aire
ENSMUSG00000000732	Icosl
ENSMUSG00000000738	Spg7
ENSMUSG00000000739	Sult5a1
ENSMUSG00000000740	Rpl13
ENSMUSG00000000743	Chmp1a
ENSMUSG00000000751	Rpa1
ENSMUSG00000000753	Serpinf1
ENSMUSG00000000759	Tubgcp3
ENSMUSG00000000766	Oprm1
ENSMUSG00000000776	Polr3d
ENSMUSG00000000782	Tcf7
ENSMUSG00000000787	Ddx3x
ENSMUSG00000000791	Il12rb1
ENSMUSG00000000792	Slc5a5
ENSMUSG00000000794	Kcnn3
ENSMUSG00000000804	Usp32
ENSMUSG00000000805	Car4
ENSMUSG00000000811	Txnrd3
ENSMUSG00000000817	Fasl
ENSMUSG00000000823	Zfp512b
ENSMUSG00000000826	Dnajc5
ENSMUSG00000000827	Tpd52l2
ENSMUSG00000000838	Fmr1
ENSMUSG00000000861	Bcl11a
ENSMUSG00000000869	Il4
ENSMUSG00000000876	Pxmp4
ENSMUSG00000000881	Dlg3
ENSMUSG00000000884	Gnb1l
ENSMUSG00000000889	Dbh
ENSMUSG00000000901	Mmp11
ENSMUSG00000000902	Smarcb1
ENSMUSG00000000903	Vpreb3
ENSMUSG00000000915	Hip1r
ENSMUSG00000000916	Nsun5
ENSMUSG00000000934	Top1mt
ENSMUSG00000000938	Hoxa10
ENSMUSG00000000942	Hoxa4
ENSMUSG00000000957	Mmp14
ENSMUSG00000000958	Slc7a7
ENSMUSG00000000959	Oxa1l
ENSMUSG00000000976	Heatr6
ENSMUSG00000000982	Ccl3
ENSMUSG00000000983	Wfdc18
ENSMUSG00000001014	Icam4
ENSMUSG00000001016	Ilf2
ENSMUSG00000001017	Chtop
ENSMUSG00000001018	Snapin
ENSMUSG00000001020	S100a4
ENSMUSG00000001021	S100a3
ENSMUSG00000001023	S100a5
ENSMUSG00000001025	S100a6
ENSMUSG00000001027	Scn4a
ENSMUSG00000001029	Icam2
ENSMUSG00000001034	Mapk7
ENSMUSG00000001036	Epn2
ENSMUSG00000001039	B9d1
ENSMUSG00000001052	Sec24b
ENSMUSG00000001053	N4bp3
ENSMUSG00000001054	Rmnd5b
ENSMUSG00000001056	Nhp2
ENSMUSG00000001062	Vps9d1
ENSMUSG00000001065	Zfp276
ENSMUSG00000001076	C1ql4
ENSMUSG00000001082	Mfsd10
ENSMUSG00000001089	Luzp1
ENSMUSG00000001095	Slc13a2
ENSMUSG00000001098	Kctd10
ENSMUSG00000001100	Poldip2
ENSMUSG00000001103	Sebox
ENSMUSG00000001105	Ift20
ENSMUSG00000001119	Col6a1
ENSMUSG00000001120	Pcbp3
ENSMUSG00000001123	Lgals9
ENSMUSG00000001127	Araf
ENSMUSG00000001128	Cfp
ENSMUSG00000001131	Timp1
ENSMUSG00000001134	Uxt
ENSMUSG00000001138	Cnnm3
ENSMUSG00000001143	Lman2l
ENSMUSG00000001150	Mcm3ap
ENSMUSG00000001151	Pcnt
ENSMUSG00000001155	Ftcd
ENSMUSG00000001156	Mxd1
ENSMUSG00000001157	Gmcl1
ENSMUSG00000001158	Snrnp27
ENSMUSG00000001166	Oas1c
ENSMUSG00000001168	Oas1h
ENSMUSG00000001173	Ocrl
ENSMUSG00000001175	Calm1
ENSMUSG00000001211	Agpat3
ENSMUSG00000001225	Slc26a3
ENSMUSG00000001227	Sema6b
ENSMUSG00000001228	Uhrf1
ENSMUSG00000001229	Dpp9
ENSMUSG00000001240	Ramp2
ENSMUSG00000001247	Lsr
ENSMUSG00000001248	Gramd1a
ENSMUSG00000001249	Hpn
ENSMUSG00000001260	Gabrg1
ENSMUSG00000001270	Ckb
ENSMUSG00000001280	Sp1
ENSMUSG00000001281	Itgb7
ENSMUSG00000001285	Myg1
ENSMUSG00000001288	Rarg
ENSMUSG00000001289	Pfdn5
ENSMUSG00000001300	Efnb2
ENSMUSG00000001305	Rrp15
ENSMUSG00000001313	Rnd2
ENSMUSG00000001323	Srr
ENSMUSG00000001333	Sync
ENSMUSG00000001334	Fndc5
ENSMUSG00000001348	Acp5
ENSMUSG00000001349	Cnn1
ENSMUSG00000001366	Fbxo9
ENSMUSG00000001376	Vps50
ENSMUSG00000001380	Hars1
ENSMUSG00000001383	Zmat2
ENSMUSG00000001403	Ube2c
ENSMUSG00000001415	Smg5
ENSMUSG00000001416	Cct3
ENSMUSG00000001418	Glmp
ENSMUSG00000001419	Mef2d
ENSMUSG00000001420	Tmem79
ENSMUSG00000001424	Snd1
ENSMUSG00000001435	Col18a1
ENSMUSG00000001436	Slc19a1
ENSMUSG00000001440	Kpnb1
ENSMUSG00000001441	Npepps
ENSMUSG00000001444	Tbx21
ENSMUSG00000001445	Mrpl10
ENSMUSG00000001467	Cyp51
ENSMUSG00000001472	Tcf25
ENSMUSG00000001473	Tubb6
ENSMUSG00000001482	Def8
ENSMUSG00000001493	Meox1
ENSMUSG00000001494	Sost
ENSMUSG00000001496	Nkx2-1
ENSMUSG00000001497	Pax9
ENSMUSG00000001504	Irx2
ENSMUSG00000001506	Col1a1
ENSMUSG00000001507	Itga3
ENSMUSG00000001508	Sgca
ENSMUSG00000001510	Dlx3
ENSMUSG00000001517	Foxm1
ENSMUSG00000001518	Itfg2
ENSMUSG00000001520	Nrip2
ENSMUSG00000001521	Tulp3
ENSMUSG00000001524	Gtf2h4
ENSMUSG00000001525	Tubb5
ENSMUSG00000001542	Ell2
ENSMUSG00000001552	Jup
ENSMUSG00000001555	Fkbp10
ENSMUSG00000001558	Klhl10
ENSMUSG00000001566	Mnx1
ENSMUSG00000001569	Nom1
ENSMUSG00000001576	Ergic1
ENSMUSG00000001583	Tnk1
ENSMUSG00000001588	Acap1
ENSMUSG00000001604	Tcea3
ENSMUSG00000001622	Csn3
ENSMUSG00000001627	Ifrd1
ENSMUSG00000001630	Stk38l
ENSMUSG00000001632	Brpf1
ENSMUSG00000001642	Akr1b1
ENSMUSG00000001655	Hoxc13
ENSMUSG00000001656	Hoxc11
ENSMUSG00000001657	Hoxc8
ENSMUSG00000001661	Hoxc6
ENSMUSG00000001663	Gstt1
ENSMUSG00000001665	Gstt3
ENSMUSG00000001666	Ddt
ENSMUSG00000001670	Tat
ENSMUSG00000001672	Marveld3
ENSMUSG00000001674	Ddx18
ENSMUSG00000001687	Ubl3
ENSMUSG00000001700	Gramd2b
ENSMUSG00000001707	Eef1e1
ENSMUSG00000001729	Akt1
ENSMUSG00000001739	Cldn15
ENSMUSG00000001741	Il16
ENSMUSG00000001750	Tcirg1
ENSMUSG00000001751	Naglu
ENSMUSG00000001755	Coasy
ENSMUSG00000001761	Smo
ENSMUSG00000001763	Tspan33
ENSMUSG00000001767	Crnkl1
ENSMUSG00000001768	Rin2
ENSMUSG00000001773	Folh1
ENSMUSG00000001774	Chordc1
ENSMUSG00000001783	Rtcb
ENSMUSG00000001785	Pwp1
ENSMUSG00000001786	Fbxo7
ENSMUSG00000001794	Capns1
ENSMUSG00000001802	Lrp3
ENSMUSG00000001804	Dsg4
ENSMUSG00000001815	Evx2
ENSMUSG00000001819	Hoxd13
ENSMUSG00000001823	Hoxd12
ENSMUSG00000001827	Folr1
ENSMUSG00000001829	Clpb
ENSMUSG00000001833	Septin7
ENSMUSG00000001844	Zdhhc4
ENSMUSG00000001847	Rac1
ENSMUSG00000001855	Nup214
ENSMUSG00000001864	Aif1l
ENSMUSG00000001865	Cpa3
ENSMUSG00000001870	Ltbp1
ENSMUSG00000001891	Ugp2
ENSMUSG00000001901	Kcnh6
ENSMUSG00000001909	Trmt1
ENSMUSG00000001910	Nacc1
ENSMUSG00000001911	Nfix
ENSMUSG00000001918	Slc1a5
ENSMUSG00000001924	Uba1
ENSMUSG00000001930	Vwf
ENSMUSG00000001942	Siae
ENSMUSG00000001943	Vsig2
ENSMUSG00000001946	Esam
ENSMUSG00000001948	Spa17
ENSMUSG00000001962	Fam50a
ENSMUSG00000001964	Emd
ENSMUSG00000001983	Taco1
ENSMUSG00000001985	Grik3
ENSMUSG00000001986	Gria3
ENSMUSG00000001988	Npas1
ENSMUSG00000001995	Sipa1l2
ENSMUSG00000001998	Ap4e1
ENSMUSG00000001999	Blvra
ENSMUSG00000002006	Pdzd4
ENSMUSG00000002007	Srpk3
ENSMUSG00000002010	Idh3g
ENSMUSG00000002012	Pnck
ENSMUSG00000002014	Ssr4
ENSMUSG00000002015	Bcap31
ENSMUSG00000002017	Fam98a
ENSMUSG00000002020	Ltbp2
ENSMUSG00000002028	Kmt2a
ENSMUSG00000002031	Ift46
ENSMUSG00000002032	Tmem25
ENSMUSG00000002033	Cd3g
ENSMUSG00000002043	Trappc6a
ENSMUSG00000002052	Supt6
ENSMUSG00000002055	Spag5
ENSMUSG00000002057	Foxn1
ENSMUSG00000002058	Unc119
ENSMUSG00000002059	Rab34
ENSMUSG00000002064	Sdf2
ENSMUSG00000002068	Ccne1
ENSMUSG00000002076	Hsf2bp
ENSMUSG00000002083	Bbc3
ENSMUSG00000002100	Mybpc3
ENSMUSG00000002102	Psmc3
ENSMUSG00000002103	Acp2
ENSMUSG00000002104	Rapsn
ENSMUSG00000002105	Slc39a13
ENSMUSG00000002107	Celf2
ENSMUSG00000002108	Nr1h3
ENSMUSG00000002109	Ddb2
ENSMUSG00000002111	Spi1
ENSMUSG00000002129	Sf3a1
ENSMUSG00000002147	Stat6
ENSMUSG00000002190	Clgn
ENSMUSG00000002204	Napsa
ENSMUSG00000002205	Vrk3
ENSMUSG00000002210	Smg9
ENSMUSG00000002221	Paxip1
ENSMUSG00000002222	Rmnd5a
ENSMUSG00000002227	Mov10
ENSMUSG00000002228	Ppm1j
ENSMUSG00000002233	Rhoc
ENSMUSG00000002240	Prr27
ENSMUSG00000002249	Tead3
ENSMUSG00000002250	Ppard
ENSMUSG00000002257	Def6
ENSMUSG00000002265	Peg3
ENSMUSG00000002266	Zim1
ENSMUSG00000002274	Metrn
ENSMUSG00000002279	Lmf1
ENSMUSG00000002280	Ciao3
ENSMUSG00000002289	Angptl4
ENSMUSG00000002297	Dbf4
ENSMUSG00000002307	Daxx
ENSMUSG00000002308	Cd320
ENSMUSG00000002319	Ipo4
ENSMUSG00000002320	Tm9sf1
ENSMUSG00000002324	Rec8
ENSMUSG00000002325	Irf9
ENSMUSG00000002326	Gmpr2
ENSMUSG00000002329	Mdp1
ENSMUSG00000002332	Dhrs1
ENSMUSG00000002341	Ncan
ENSMUSG00000002342	Tmem161a
ENSMUSG00000002343	Armc6
ENSMUSG00000002345	Borcs8
ENSMUSG00000002346	Slc25a42
ENSMUSG00000002365	Snx9
ENSMUSG00000002372	Ranbp3
ENSMUSG00000002379	Ndufa11
ENSMUSG00000002384	Bmp8b
ENSMUSG00000002393	Nr2f6
ENSMUSG00000002395	Use1
ENSMUSG00000002396	Ocel1
ENSMUSG00000002409	Dyrk1b
ENSMUSG00000002413	Braf
ENSMUSG00000002416	Ndufb2
ENSMUSG00000002428	Hltf
ENSMUSG00000002455	Prpf6
ENSMUSG00000002458	Rgs19
ENSMUSG00000002459	Rgs20
ENSMUSG00000002475	Abhd3
ENSMUSG00000002477	Snrpd1
ENSMUSG00000002486	Tchp
ENSMUSG00000002489	Tiam1
ENSMUSG00000002496	Tsc2
ENSMUSG00000002500	Rpl3l
ENSMUSG00000002504	Nherf2
ENSMUSG00000002524	Puf60
ENSMUSG00000002546	Golga2
ENSMUSG00000002550	Uck1
ENSMUSG00000002565	Scin
ENSMUSG00000002578	Ikzf4
ENSMUSG00000002580	Mien1
ENSMUSG00000002588	Pon1
ENSMUSG00000002602	Axl
ENSMUSG00000002603	Tgfb1
ENSMUSG00000002608	Ccdc97
ENSMUSG00000002617	Zfp40
ENSMUSG00000002625	Akap8l
ENSMUSG00000002633	Shh
ENSMUSG00000002635	Pdcd2l
ENSMUSG00000002658	Gtf2f1
ENSMUSG00000002660	Clpp
ENSMUSG00000002661	Alkbh7
ENSMUSG00000002664	Pspn
ENSMUSG00000002668	Dennd1c
ENSMUSG00000002679	Med6
ENSMUSG00000002688	Prkd1
ENSMUSG00000002699	Lcp2
ENSMUSG00000002718	Cse1l
ENSMUSG00000002728	Naa20
ENSMUSG00000002731	Prkra
ENSMUSG00000002732	Fkbp7
ENSMUSG00000002733	Plekha3
ENSMUSG00000002741	Ykt6
ENSMUSG00000002748	Baz1b
ENSMUSG00000002763	Pex6
ENSMUSG00000002767	Mrpl2
ENSMUSG00000002768	Mea1
ENSMUSG00000002769	Gnmt
ENSMUSG00000002771	Grin2d
ENSMUSG00000002778	Kdelr1
ENSMUSG00000002781	Tmem143
ENSMUSG00000002797	Ggct
ENSMUSG00000002799	Jag2
ENSMUSG00000002803	Btbd6
ENSMUSG00000002804	Nudt14
ENSMUSG00000002808	Epdr1
ENSMUSG00000002812	Flii
ENSMUSG00000002814	Top3a
ENSMUSG00000002820	Atg4d
ENSMUSG00000002825	Qtrt1
ENSMUSG00000002831	Plin4
ENSMUSG00000002833	Hdgfl2
ENSMUSG00000002835	Chaf1a
ENSMUSG00000002844	Adprh
ENSMUSG00000002845	Tmem39a
ENSMUSG00000002846	Timmdc1
ENSMUSG00000002847	Pla1a
ENSMUSG00000002870	Mcm2
ENSMUSG00000002871	Tpra1
ENSMUSG00000002881	Nab1
ENSMUSG00000002885	Adgre5
ENSMUSG00000002897	Il17ra
ENSMUSG00000002900	Lamb1
ENSMUSG00000002908	Kcnn1
ENSMUSG00000002910	Arrdc2
ENSMUSG00000002930	Ppp1r17
ENSMUSG00000002944	Cd36
ENSMUSG00000002948	Map2k7
ENSMUSG00000002949	Timm44
ENSMUSG00000002957	Ap2a2
ENSMUSG00000002963	Pnkp
ENSMUSG00000002968	Med25
ENSMUSG00000002980	Bcam
ENSMUSG00000002981	Clptm1
ENSMUSG00000002983	Relb
ENSMUSG00000002984	Tomm40
ENSMUSG00000002985	Apoe
ENSMUSG00000002992	Apoc2
ENSMUSG00000002996	Hbp1
ENSMUSG00000002997	Prkar2b
ENSMUSG00000003031	Cdkn1b
ENSMUSG00000003032	Klf4
ENSMUSG00000003033	Ap1m1
ENSMUSG00000003037	Rab8a
ENSMUSG00000003038	Hmgn2
ENSMUSG00000003039	Fam32a
ENSMUSG00000003051	Elf3
ENSMUSG00000003053	Cyp2c29
ENSMUSG00000003062	Stard3nl
ENSMUSG00000003068	Stk11
ENSMUSG00000003070	Efna2
ENSMUSG00000003072	Atp5f1d
ENSMUSG00000003099	Ppp5c
ENSMUSG00000003119	Cdk12
ENSMUSG00000003123	Lipe
ENSMUSG00000003131	Pafah1b2
ENSMUSG00000003134	Tbc1d8
ENSMUSG00000003135	Cnot11
ENSMUSG00000003153	Slc2a3
ENSMUSG00000003154	Foxj2
ENSMUSG00000003161	Sri
ENSMUSG00000003166	Dgcr2
ENSMUSG00000003184	Irf3
ENSMUSG00000003190	Bcl2l12
ENSMUSG00000003198	Zfp959
ENSMUSG00000003199	Mpnd
ENSMUSG00000003200	Sh3gl1
ENSMUSG00000003206	Ebi3
ENSMUSG00000003208	Yju2
ENSMUSG00000003226	Ranbp2
ENSMUSG00000003227	Edar
ENSMUSG00000003228	Grk5
ENSMUSG00000003233	Dvl3
ENSMUSG00000003234	Abcf3
ENSMUSG00000003235	Eif2b5
ENSMUSG00000003269	Cyth2
ENSMUSG00000003271	Sult2b1
ENSMUSG00000003273	Car11
ENSMUSG00000003279	Dlgap1
ENSMUSG00000003282	Plag1
ENSMUSG00000003283	Hck
ENSMUSG00000003299	Mrpl4
ENSMUSG00000003308	Keap1
ENSMUSG00000003309	Ap1m2
ENSMUSG00000003316	Glg1
ENSMUSG00000003341	Atp8b3
ENSMUSG00000003344	Btbd2
ENSMUSG00000003345	Csnk1g2
ENSMUSG00000003346	Abhd17a
ENSMUSG00000003348	Mob3a
ENSMUSG00000003352	Cacnb3
ENSMUSG00000003354	Ccdc65
ENSMUSG00000003355	Fkbp11
ENSMUSG00000003360	Ddx23
ENSMUSG00000003363	Pld3
ENSMUSG00000003378	Grik5
ENSMUSG00000003379	Cd79a
ENSMUSG00000003380	Rabac1
ENSMUSG00000003382	Etv3
ENSMUSG00000003402	Prkcsh
ENSMUSG00000003410	Elavl3
ENSMUSG00000003411	Rab3b
ENSMUSG00000003418	St8sia6
ENSMUSG00000003420	Fcgrt
ENSMUSG00000003421	Nosip
ENSMUSG00000003423	Pih1d1
ENSMUSG00000003429	Rps11
ENSMUSG00000003435	Supt5
ENSMUSG00000003436	Dll3
ENSMUSG00000003437	Paf1
ENSMUSG00000003438	Timm50
ENSMUSG00000003444	Med29
ENSMUSG00000003452	Bicd1
ENSMUSG00000003458	Ncstn
ENSMUSG00000003464	Pex19
ENSMUSG00000003469	Phyhip
ENSMUSG00000003476	Crhr2
ENSMUSG00000003477	Inmt
ENSMUSG00000003484	Cyp4f18
ENSMUSG00000003500	Impdh1
ENSMUSG00000003505	Psg18
ENSMUSG00000003518	Dusp3
ENSMUSG00000003526	Prodh
ENSMUSG00000003527	Ess2
ENSMUSG00000003528	Slc25a1
ENSMUSG00000003531	Dgcr6
ENSMUSG00000003534	Ddr1
ENSMUSG00000003541	Ier3
ENSMUSG00000003545	Fosb
ENSMUSG00000003546	Klc4
ENSMUSG00000003549	Ercc1
ENSMUSG00000003555	Cyp17a1
ENSMUSG00000003559	As3mt
ENSMUSG00000003573	Homer3
ENSMUSG00000003575	Crtc1
ENSMUSG00000003581	Rnf215
ENSMUSG00000003585	Sec14l2
ENSMUSG00000003604	Aven
ENSMUSG00000003617	Cp
ENSMUSG00000003623	Crot
ENSMUSG00000003644	Rps6ka1
ENSMUSG00000003657	Calb2
ENSMUSG00000003660	Snrnp200
ENSMUSG00000003662	Ciao1
ENSMUSG00000003665	Has1
ENSMUSG00000003680	Taf6l
ENSMUSG00000003721	Insig2
ENSMUSG00000003731	Kpna6
ENSMUSG00000003746	Man1a
ENSMUSG00000003752	Itpkc
ENSMUSG00000003762	Coq8b
ENSMUSG00000003778	Brd8
ENSMUSG00000003779	Kif20a
ENSMUSG00000003808	Farsa
ENSMUSG00000003809	Gcdh
ENSMUSG00000003810	Mast2
ENSMUSG00000003812	Dnase2a
ENSMUSG00000003813	Rad23a
ENSMUSG00000003814	Calr
ENSMUSG00000003824	Syce2
ENSMUSG00000003847	Nfat5
ENSMUSG00000003848	Nob1
ENSMUSG00000003849	Nqo1
ENSMUSG00000003863	Ppfia3
ENSMUSG00000003865	Gys1
ENSMUSG00000003868	Ruvbl2
ENSMUSG00000003872	Lin7b
ENSMUSG00000003873	Bax
ENSMUSG00000003882	Il7r
ENSMUSG00000003923	Tfam
ENSMUSG00000003929	Zfp81
ENSMUSG00000003934	Efnb3
ENSMUSG00000003948	Mmd
ENSMUSG00000003949	Hlf
ENSMUSG00000003955	Fam162a
ENSMUSG00000003970	Rpl8
ENSMUSG00000003974	Grm3
ENSMUSG00000003992	Ssbp2
ENSMUSG00000004018	Fancl
ENSMUSG00000004031	Brinp2
ENSMUSG00000004032	Gstm5
ENSMUSG00000004035	Gstm7
ENSMUSG00000004038	Gstm3
ENSMUSG00000004040	Stat3
ENSMUSG00000004043	Stat5a
ENSMUSG00000004044	Cavin1
ENSMUSG00000004054	Map3k11
ENSMUSG00000004056	Akt2
ENSMUSG00000004069	Dnaja3
ENSMUSG00000004070	Hmox2
ENSMUSG00000004071	Cdip1
ENSMUSG00000004085	Map3k20
ENSMUSG00000004096	Cwc15
ENSMUSG00000004098	Col5a3
ENSMUSG00000004099	Dnmt1
ENSMUSG00000004100	Ppan
ENSMUSG00000004105	Angptl2
ENSMUSG00000004110	Cacna1e
ENSMUSG00000004113	Cacna1b
ENSMUSG00000004127	Trmt10a
ENSMUSG00000004151	Etv1
ENSMUSG00000004187	Kifc2
ENSMUSG00000004207	Psap
ENSMUSG00000004221	Ikbkg
ENSMUSG00000004231	Pax2
ENSMUSG00000004233	Wars2
ENSMUSG00000004263	Atn1
ENSMUSG00000004264	Phb2
ENSMUSG00000004266	Ptpn6
ENSMUSG00000004267	Eno2
ENSMUSG00000004268	Emg1
ENSMUSG00000004270	Lpcat3
ENSMUSG00000004285	Atp6v1f
ENSMUSG00000004296	Il12b
ENSMUSG00000004317	Clcn5
ENSMUSG00000004319	Clcn3
ENSMUSG00000004328	Hif3a
ENSMUSG00000004341	Gpx6
ENSMUSG00000004344	Gpx5
ENSMUSG00000004347	Pde1c
ENSMUSG00000004356	Utp20
ENSMUSG00000004359	Spic
ENSMUSG00000004360	9330159F19Rik
ENSMUSG00000004364	Cul3
ENSMUSG00000004366	Sst
ENSMUSG00000004371	Il11
ENSMUSG00000004383	Large1
ENSMUSG00000004393	Ddx56
ENSMUSG00000004394	Tmed4
ENSMUSG00000004415	Col26a1
ENSMUSG00000004446	Bid
ENSMUSG00000004451	Ralb
ENSMUSG00000004455	Ppp1cc
ENSMUSG00000004460	Dnajb11
ENSMUSG00000004462	Tbccd1
ENSMUSG00000004473	Clec11a
ENSMUSG00000004500	Zfp324
ENSMUSG00000004508	Gab2
ENSMUSG00000004530	Coro1c
ENSMUSG00000004535	Tax1bp1
ENSMUSG00000004540	Psg17
ENSMUSG00000004542	Psg19
ENSMUSG00000004552	Ctse
ENSMUSG00000004558	Ndrg2
ENSMUSG00000004561	Mettl17
ENSMUSG00000004562	Arhgef40
ENSMUSG00000004565	Pnpla6
ENSMUSG00000004567	Mcoln1
ENSMUSG00000004568	Arhgef18
ENSMUSG00000004591	Pkn2
ENSMUSG00000004609	Cd33
ENSMUSG00000004610	Etfb
ENSMUSG00000004612	Nkg7
ENSMUSG00000004626	Stxbp2
ENSMUSG00000004630	Pcp2
ENSMUSG00000004631	Sgce
ENSMUSG00000004633	Chn2
ENSMUSG00000004637	Wwox
ENSMUSG00000004642	Slbp
ENSMUSG00000004651	Tyr
ENSMUSG00000004654	Ghrhr
ENSMUSG00000004655	Aqp1
ENSMUSG00000004661	Arid3b
ENSMUSG00000004665	Cnn2
ENSMUSG00000004667	Polr2e
ENSMUSG00000004668	Abca13
ENSMUSG00000004677	Myo9b
ENSMUSG00000004698	Hdac9
ENSMUSG00000004707	Ly9
ENSMUSG00000004709	Cd244a
ENSMUSG00000004730	Adgre1
ENSMUSG00000004748	Mtfp1
ENSMUSG00000004768	Rab23
ENSMUSG00000004771	Rab11a
ENSMUSG00000004788	Eif2b2
ENSMUSG00000004789	Dlst
ENSMUSG00000004791	Pgf
ENSMUSG00000004798	Ulk2
ENSMUSG00000004814	Ccl24
ENSMUSG00000004815	Dgkq
ENSMUSG00000004821	Tmed11
ENSMUSG00000004837	Grap
ENSMUSG00000004842	Pou1f1
ENSMUSG00000004843	Chmp2b
ENSMUSG00000004846	Plod3
ENSMUSG00000004849	Ap1s1
ENSMUSG00000004864	Mapk13
ENSMUSG00000004865	Srpk1
ENSMUSG00000004872	Pax3
ENSMUSG00000004880	Lbr
ENSMUSG00000004885	Crabp2
ENSMUSG00000004891	Nes
ENSMUSG00000004892	Bcan
ENSMUSG00000004894	Hapln2
ENSMUSG00000004895	Prcc
ENSMUSG00000004896	Mettl25b
ENSMUSG00000004897	Hdgf
ENSMUSG00000004902	Slc25a18
ENSMUSG00000004929	Thop1
ENSMUSG00000004931	Apba3
ENSMUSG00000004933	Matk
ENSMUSG00000004934	Pias4
ENSMUSG00000004936	Map2k1
ENSMUSG00000004937	Sgta
ENSMUSG00000004939	Nmrk2
ENSMUSG00000004945	Tmem242
ENSMUSG00000004947	Dtx2
ENSMUSG00000004948	Zp3
